"Code Word 0", "Code Word 1", "Code Word 2", "HD0,1", "HD0,2", "HD(1,2)", "Code Word Weight 0", "Code Word Weight 1", "Code Word Weight 2", "Unit weight sum 0", "Unit weight sum 1", "Weight sum 0", "Weight sum 1", "Homeostasis factor", "Positives", "Negatives", "True Positives", "True Negatives", "False Positives", "False Negatives", "Accuracy", "Precision", "Negative Prediction", "Sensitivity", "Specificity"
0,15,243,4,6,6,10,10,6,"[3, 3, 2, 2, 2, 2, 2, 2, 1, 1]","[0, 0, 1, 1, 1, 1, 1, 1, 2, 2]","[1.1015625 1.1015625 0.734375  0.734375  0.734375  0.734375  0.734375
 0.734375  0.3671875 0.3671875]","[0.        0.        0.3671875 0.3671875 0.3671875 0.3671875 0.3671875
 0.3671875 0.734375  0.734375 ]",6.980499999999997,165,859,3,859,162,0,0.841796875,0.01818181818181818,1.0,1.0,0.8413320274240941
0,31,483,5,6,7,8,6,4,"[3, 2, 2, 2, 2, 2, 2, 2, 1, 1]","[0, 1, 1, 1, 1, 1, 1, 1, 2, 2]","[1.1015625 0.734375  0.734375  0.734375  0.734375  0.734375  0.734375
 0.734375  0.3671875 0.3671875]","[0.        0.3671875 0.3671875 0.3671875 0.3671875 0.3671875 0.3671875
 0.3671875 0.734375  0.734375 ]",10.471639999999999,257,767,3,767,254,0,0.751953125,0.011673151750972763,1.0,1.0,0.7512242899118511
0,7,1016,3,7,10,10,4,-4,"[2, 2, 2, 2, 2, 2, 2, 2, 2, 2]","[1, 1, 1, 1, 1, 1, 1, 1, 1, 1]","[0.734375 0.734375 0.734375 0.734375 0.734375 0.734375 0.734375 0.734375
 0.734375 0.734375]","[0.3671875 0.3671875 0.3671875 0.3671875 0.3671875 0.3671875 0.3671875
 0.3671875 0.3671875 0.3671875]",10.476069999999998,176,848,2,847,174,1,0.8291015625,0.011363636363636364,0.9988207547169812,0.6666666666666666,0.8295788442703232
0,63,455,6,6,6,6,6,6,"[3, 2, 2, 2, 2, 2, 2, 1, 1, 1]","[0, 1, 1, 1, 1, 1, 1, 2, 2, 2]","[1.1015625 0.734375  0.734375  0.734375  0.734375  0.734375  0.734375
 0.3671875 0.3671875 0.3671875]","[0.        0.3671875 0.3671875 0.3671875 0.3671875 0.3671875 0.3671875
 0.734375  0.734375  0.734375 ]",6.981389999999999,131,893,3,893,128,0,0.875,0.022900763358778626,1.0,1.0,0.8746327130264446
0,3,29,2,4,4,18,18,14,"[3, 3, 3, 3, 3, 2, 2, 2, 2, 1]","[0, 0, 0, 0, 0, 1, 1, 1, 1, 2]","[1.1015625 1.1015625 1.1015625 1.1015625 1.1015625 0.734375  0.734375
 0.734375  0.734375  0.3671875]","[0.        0.        0.        0.        0.        0.3671875 0.3671875
 0.3671875 0.3671875 0.734375 ]",2.9920300000000006,26,998,3,998,23,0,0.9775390625,0.11538461538461539,1.0,1.0,0.9774730656219393
0,0,7,0,3,3,24,24,18,"[3, 3, 3, 3, 3, 3, 3, 2, 2, 2]","[0, 0, 0, 0, 0, 0, 0, 1, 1, 1]","[1.1015625 1.1015625 1.1015625 1.1015625 1.1015625 1.1015625 1.1015625
 0.734375  0.734375  0.734375 ]","[0.        0.        0.        0.        0.        0.        0.
 0.3671875 0.3671875 0.3671875]",2.32669,15,1009,2,1009,13,0,0.9873046875,0.13333333333333333,1.0,1.0,0.987279843444227
0,3,12,2,2,4,22,18,18,"[3, 3, 3, 3, 3, 3, 2, 2, 2, 2]","[0, 0, 0, 0, 0, 0, 1, 1, 1, 1]","[1.1015625 1.1015625 1.1015625 1.1015625 1.1015625 1.1015625 0.734375
 0.734375  0.734375  0.734375 ]","[0.        0.        0.        0.        0.        0.        0.3671875
 0.3671875 0.3671875 0.3671875]",2.32669,11,1013,3,1013,8,0,0.9921875,0.2727272727272727,1.0,1.0,0.9921645445641528
0,3,61,2,5,5,16,16,10,"[3, 3, 3, 3, 2, 2, 2, 2, 2, 1]","[0, 0, 0, 0, 1, 1, 1, 1, 1, 2]","[1.1015625 1.1015625 1.1015625 1.1015625 0.734375  0.734375  0.734375
 0.734375  0.734375  0.3671875]","[0.        0.        0.        0.        0.3671875 0.3671875 0.3671875
 0.3671875 0.3671875 0.734375 ]",4.1861799999999985,61,963,3,963,58,0,0.943359375,0.04918032786885246,1.0,1.0,0.9431929480901078
0,15,51,4,4,4,14,14,14,"[3, 3, 3, 3, 2, 2, 2, 2, 1, 1]","[0, 0, 0, 0, 1, 1, 1, 1, 2, 2]","[1.1015625 1.1015625 1.1015625 1.1015625 0.734375  0.734375  0.734375
 0.734375  0.3671875 0.3671875]","[0.        0.        0.        0.        0.3671875 0.3671875 0.3671875
 0.3671875 0.734375  0.734375 ]",2.9920300000000006,22,1002,3,1002,19,0,0.9814453125,0.13636363636363635,1.0,1.0,0.9813907933398629
0,0,1,0,1,1,28,28,26,"[3, 3, 3, 3, 3, 3, 3, 3, 3, 2]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 1]","[1.1015625 1.1015625 1.1015625 1.1015625 1.1015625 1.1015625 1.1015625
 1.1015625 1.1015625 0.734375 ]","[0.        0.        0.        0.        0.        0.        0.
 0.        0.        0.3671875]",1.6112600000000001,2,1022,2,1022,0,0,1.0,1.0,1.0,1.0,1.0
0,31,995,5,7,8,6,4,0,"[2, 2, 2, 2, 2, 2, 2, 2, 1, 1]","[1, 1, 1, 1, 1, 1, 1, 1, 2, 2]","[0.734375  0.734375  0.734375  0.734375  0.734375  0.734375  0.734375
 0.734375  0.3671875 0.3671875]","[0.3671875 0.3671875 0.3671875 0.3671875 0.3671875 0.3671875 0.3671875
 0.3671875 0.734375  0.734375 ]",10.473409999999998,176,848,2,847,174,1,0.8291015625,0.011363636363636364,0.9988207547169812,0.6666666666666666,0.8295788442703232
0,3,124,2,5,7,16,12,6,"[3, 3, 3, 2, 2, 2, 2, 2, 2, 2]","[0, 0, 0, 1, 1, 1, 1, 1, 1, 1]","[1.1015625 1.1015625 1.1015625 0.734375  0.734375  0.734375  0.734375
 0.734375  0.734375  0.734375 ]","[0.        0.        0.        0.3671875 0.3671875 0.3671875 0.3671875
 0.3671875 0.3671875 0.3671875]",6.98405,207,817,3,817,204,0,0.80078125,0.014492753623188406,1.0,1.0,0.8001958863858962
