HD01, HD02, HD12, CW0, CW1, CW2
6, 6, 8, 0, 63, 963
6, 7, 1, 0, 63, 127
6, 7, 3, 0, 63, 223
6, 7, 5, 0, 63, 463
6, 7, 7, 0, 63, 967
6, 8, 2, 0, 63, 255
6, 8, 4, 0, 63, 479
6, 8, 6, 0, 63, 975
6, 9, 3, 0, 63, 511
6, 9, 5, 0, 63, 991
6, 10, 4, 0, 63, 1023
7, 0, 7, 0, 127, 0
7, 1, 6, 0, 127, 1
7, 1, 8, 0, 127, 128
7, 2, 5, 0, 127, 3
7, 2, 7, 0, 127, 129
7, 2, 9, 0, 127, 384
7, 3, 4, 0, 127, 7
7, 3, 6, 0, 127, 131
7, 3, 8, 0, 127, 385
7, 3, 10, 0, 127, 896
7, 4, 3, 0, 127, 15
7, 4, 5, 0, 127, 135
7, 4, 7, 0, 127, 387
7, 4, 9, 0, 127, 897
7, 5, 2, 0, 127, 31
7, 5, 4, 0, 127, 143
7, 5, 6, 0, 127, 391
7, 5, 8, 0, 127, 899
7, 6, 1, 0, 127, 63
7, 6, 3, 0, 127, 159
7, 6, 5, 0, 127, 399
7, 6, 7, 0, 127, 903
7, 7, 0, 0, 127, 127
7, 7, 2, 0, 127, 191
7, 7, 4, 0, 127, 415
7, 7, 6, 0, 127, 911
7, 8, 1, 0, 127, 255
7, 8, 3, 0, 127, 447
7, 8, 5, 0, 127, 927
7, 9, 2, 0, 127, 511
7, 9, 4, 0, 127, 959
7, 10, 3, 0, 127, 1023
8, 0, 8, 0, 255, 0
8, 1, 7, 0, 255, 1
8, 1, 9, 0, 255, 256
8, 2, 6, 0, 255, 3
8, 2, 8, 0, 255, 257
8, 2, 10, 0, 255, 768
8, 3, 5, 0, 255, 7
8, 3, 7, 0, 255, 259
8, 3, 9, 0, 255, 769
8, 4, 4, 0, 255, 15
8, 4, 6, 0, 255, 263
8, 4, 8, 0, 255, 771
8, 5, 3, 0, 255, 31
8, 5, 5, 0, 255, 271
8, 5, 7, 0, 255, 775
8, 6, 2, 0, 255, 63
8, 6, 4, 0, 255, 287
8, 6, 6, 0, 255, 783
8, 7, 1, 0, 255, 127
8, 7, 3, 0, 255, 319
8, 7, 5, 0, 255, 799
8, 8, 0, 0, 255, 255
8, 8, 2, 0, 255, 383
8, 8, 4, 0, 255, 831
8, 9, 1, 0, 255, 511
8, 9, 3, 0, 255, 895
8, 10, 2, 0, 255, 1023
9, 0, 9, 0, 511, 0
9, 1, 8, 0, 511, 1
9, 1, 10, 0, 511, 512
9, 2, 7, 0, 511, 3
9, 2, 9, 0, 511, 513
9, 3, 6, 0, 511, 7
9, 3, 8, 0, 511, 515
9, 4, 5, 0, 511, 15
9, 4, 7, 0, 511, 519
9, 5, 4, 0, 511, 31
9, 5, 6, 0, 511, 527
9, 6, 3, 0, 511, 63
